org1,org2,org3,org4,org5,org6,branch,fiscal_year,depth,amount_usd,prior_secondary_usd,prior_tertiary_usd,snapshot_date,source_url
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,MOTOR VEHICLE EXCISE,MOTOR VEHICLE EXCISE - 2025,MOTOR VEHICLE EXCISE - 2025,revenue,FY2026,6,200000.0,586476.04,200000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TOWN ACCOUNTANT,TRANSFERS IN,TRANSFER FROM TRUST & AGENCY,TRANSFER FROM TRUST & AGENCY,revenue,FY2026,6,180000.0,180000.0,9000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TOWN ACCOUNTANT,TRANSFERS IN,TRANSFER FROM HARBOR FUND,TRANSFER FROM HARBOR FUND,revenue,FY2026,6,172420.0,145008.0,172420.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,STATE REV-CHERRY,ABATE TO VETS/BLIND/SURVSPOUSE,ABATE TO VETS/BLIND/SURVSPOUSE,revenue,FY2026,6,151047.0,0,151047.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,PARKS & RECREATION,CHRG SVC OTHER,FLOAT STORAGE CHG,R&P-FLOAT STORAGE CHG,revenue,FY2026,6,150000.0,156109.98,150000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,CHRG SVC OTHER,BOAT STORAGE CHARGE,BOAT STORAGE CHARGE,revenue,FY2026,6,147719.0,92739.0,147719.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TOWN ACCOUNTANT,TRANSFERS IN,TRANSFER FROM WATER FUND,TRANSFER FROM WATER FUND,revenue,FY2026,6,145448.0,145448.0,145448.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,PNLTY/INT ON TAX/EXC,PEN & INT - MV EXCISE TAX,PEN & INT - MV EXCISE TAX,revenue,FY2026,6,130000.0,53302.02,130000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,OTHER EXCISE,BOAT EXCISE,BOAT EXCISE,revenue,FY2026,6,130000.0,0,130000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,JAIL DIVERSION GRANT (STATE),POLICE,STATE GRANTS,STATE REVENUE,STATE REVENUE-2026 GRANT,revenue,FY2026,6,121310.0,0,0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
