org1,org2,org3,org4,org5,org6,fiscal_year,depth,amount_usd,snapshot_date,source_url
PUBLIC WORKS,WASTE COLLECTION,ATM25A7-WASTE-BACKHOE LEASE,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,29916.06,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,FIRE,UNDEFINED,OTHER EXPENSE,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,28739.55,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,ABBOT LIBRARY,UNDEFINED,CONTRACTED SERVICES,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,26265.05,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,ATM25A7-WASTE-JD LOADER,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,26078.91,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,UNASSIGNED,UNDEFINED,PROFESSIONAL SALARY,EDUCATION,EDUCATION,FY2026,6,25400.56,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,ART 15 2023 WATER CONSTRUCTION,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,25272.5,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,ATM25A6-P&R-ELECTRIC MOWER,CAPITAL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,25094.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,ATM25A7-DPW-F550 TRUCK W PLOW,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,23952.67,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,ATM25A7-POL-CRUISER,CAPITAL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,23759.97,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,HEALTH,UNDEFINED,OTHER EXPENSE,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,22190.2,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,CEMETERY,UNDEFINED,MISC RECURRING,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,22178.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,ATM25A7-POL-FORD INTERCEPTOR,CAPITAL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,21537.25,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,ATM25A7-P&R-F-450 DUMP TRUCK,CAPITAL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,21158.74,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HISTORICAL COMMISSION,UNDEFINED,CONTRACTED SERVICES,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,19588.72,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,WASTE COLLECTION,UNDEFINED,CHRG SVC OTHER,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,19440.55,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,UNDEFINED,UNDEFINED,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,19425.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,COUNCIL ON AGING,UNDEFINED,SUPPLIES AND MATL,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,18012.48,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,UNDEFINED,OTHER EXPENSE,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,16658.33,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,FIRE,EXPENSES,OTHER EXPENSE,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,15545.61,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,POLICE,EXPENSES,OTHER EXPENSE,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,14870.82,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,HARBOR CAPITAL OUTLAYS,CAPITAL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,14725.72,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,UNDEFINED,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,14695.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,ELECTION & REGISTRATION,EXPENSES,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,14432.51,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
