org1,org2,org3,org4,org5,org6,fiscal_year,depth,amount_usd,snapshot_date,source_url
DEBT SERVICE,DEBT SERVICE,EXPENSES,OTHER EXPENSE,DEBT SERVICE,DEBT SERVICE,FY2026,6,14238517.58,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,GROUP INSURANCE,OTHER EXPENSE,OTHER,OTHER,FY2026,6,13734760.79,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
UNDEFINED,UNASSIGNED,UNDEFINED,UNKNOWN,UNDEFINED,UNDEFINED,FY2026,6,12896257.04,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,EXPENSES,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,8268298.86,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,DISTRICTWIDE,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,6524341.59,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,CONTRIBUTORY RETIREMENT,OTHER EXPENSE,OTHER,OTHER,FY2026,6,5380625.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,SOUTH ESSEX SEWER DISTRICT,GOVERNMENTAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,3267244.87,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,MASS WATER RESOURCES AUTHORITY,GOVERNMENTAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,3195219.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,CAPITAL,EDUCATION,EDUCATION,FY2026,6,2181515.83,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,PUBLIC WORKS,UNDEFINED,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1917491.21,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,1822529.87,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,EXPENSES,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1803767.7,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,EXPENSES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1490494.51,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,UNDEFINED,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,1327441.22,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,DISTRICTWIDE,UNDEFINED,SUPPLIES AND MATL,EDUCATION,EDUCATION,FY2026,6,1196942.98,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,UNDEFINED,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,1074262.1,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,UNASSIGNED,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,1019644.76,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,UNDEFINED,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,973466.12,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,OTHER GOVERNMENTAL,OTHER INSURANCE,OTHER EXPENSE,OTHER,OTHER,FY2026,6,932233.48,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,FINANCE,EXPENSES,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,882473.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,ATM25A11A-WATER CONSTRCUTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,836850.18,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WASTE COLLECTION,UNDEFINED,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,691850.92,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,SALARIES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,642247.9,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,ART 26 2022 ESSEX NS AGGIE & T,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,627323.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,HARBOR ACCESS GRANT,CONTRACTED SERVICES,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,591015.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,PRINCIPAL ON LONG TERM MWRA,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,561490.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,COUNCIL ON AGING,UNDEFINED,CAPITAL,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,496594.17,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,DISTRICTWIDE,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,462182.67,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,UNDEFINED,CAPITAL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,443923.44,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,SALARIES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,428004.03,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
UNDEFINED,PUBLIC BUILDINGS,UNDEFINED,CAPITAL,UNDEFINED,UNDEFINED,FY2026,6,425445.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,UNDEFINED,CONTRACTED SERVICES,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,419198.96,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,SALARIES,OTHER EXPENSE,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,344537.26,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,UNDEFINED,CAPITAL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,311403.13,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,WORKERS COMPENSATION,UNDEFINED,PROFESSIONAL SALARY,OTHER,OTHER,FY2026,6,251433.42,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,TREASURER/COLLECTOR,UNDEFINED,PROPERTY TAX,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,233505.63,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SNOW REMOVAL,EXPENSES,SUPPLIES AND MATL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,227396.2,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,SALARIES,OTHER EXPENSE,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,205382.65,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,EDUCATION,ART 8 2024 CAPITAL IMPROVEMENT,CAPITAL,EDUCATION,EDUCATION,FY2026,6,189334.35,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
OTHER,WORKERS COMPENSATION,UNDEFINED,OTHER EXPENSE,OTHER,OTHER,FY2026,6,187500.1,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,HIGH SCHOOL,UNDEFINED,SUPPLIES AND MATL,EDUCATION,EDUCATION,FY2026,6,181642.55,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,HIGH SCHOOL,UNDEFINED,UNDEFINED,EDUCATION,EDUCATION,FY2026,6,178363.64,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,EXPENSES,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,176959.33,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC SAFETY,FIRE,EXPENSES,CONTRACTED SERVICES,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,175275.1,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,A11 2024 SEWER CONSTRUCTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,171292.83,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,LIGHT,EXPENSES,SUPPLIES AND MATL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,168102.96,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,ABBOT LIBRARY,EXPENSES,CONTRACTED SERVICES,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,165861.36,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,PARKS & RECREATION,UNDEFINED,OTHER EXPENSE,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,154224.51,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,EXPENSES,CONTRACTED SERVICES,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,150862.94,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,ART 11 2024 WATER CONSTRUCTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,138861.95,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,A15 2022 SEWER CONSTRUCTION,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,135841.98,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,ABBOT LIBRARY,EXPENSES,SUPPLIES AND MATL,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,134996.99,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,EXPENSES,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,134775.45,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,DRAINS,ART 14 DRAIN CONSTRUCTION,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,129347.53,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,HIGH SCHOOL,UNDEFINED,CONTRACTED SERVICES,EDUCATION,EDUCATION,FY2026,6,122886.65,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
