dor_code,municipality,fiscal_year,general_government,public_safety,education,public_works,human_services,culture_recreation,fixed_costs,intergov_assessments,other,debt_service,total_expenditures
155,Lexington,2016,"15,970,789","13,763,526","89,489,746","7,425,244","1,320,071","3,442,953","29,326,347","850,735","565,460","14,768,454","176,923,325"
168,Marblehead,2016,"2,249,991","7,644,245","33,598,273","4,552,212","578,526","1,969,446","13,328,347","2,868,544",0,"5,972,324","72,761,908"
178,Melrose,2016,"3,475,749","8,511,316","28,964,675","8,103,710","1,395,173","1,463,467","17,261,930","3,339,624","639,572","5,431,360","78,586,576"
198,Natick,2016,"10,443,247","14,666,490","55,051,968","6,632,675","1,644,368","2,792,563","23,345,211","1,390,031",0,"10,019,680","125,986,233"
199,Needham,2016,"6,989,924","14,283,030","66,928,694","4,782,062","1,329,799","2,092,826","27,090,656","1,281,984","519,274","10,830,892","136,129,141"
284,Stoneham,2016,"2,346,348","7,487,523","27,301,582","2,137,056","480,733","1,569,686","13,777,707","1,501,874","36,716","4,657,919","61,297,144"
291,Swampscott,2016,"2,728,330","7,385,397","26,627,415","1,018,465","1,473,992","736,589","10,339,440","662,917",0,"4,389,945","55,362,490"
317,Wellesley,2016,"12,761,966","11,628,756","66,879,753","9,368,751","1,328,424","2,724,790","22,989,810","1,222,643","-12,798,630","30,388,260","146,494,523"
344,Winchester,2016,"7,103,261","8,731,899","43,034,654","6,900,795","579,301","1,772,028","14,855,761","599,850","74,718","6,792,410","90,444,677"
010,Arlington,2015,"5,292,440","14,931,323","54,716,006","8,638,516","1,084,361","3,310,662","25,029,650","3,077,899","266,126","8,263,599","124,610,582"
046,Brookline,2015,"10,437,557","30,219,418","91,894,719","13,519,758","2,138,615","6,868,458","50,885,262","6,221,857",0,"9,403,333","221,588,977"
065,Cohasset,2015,"2,537,597","4,850,606","17,135,786","2,757,732","534,692","685,126","5,624,738","1,015,079",0,"4,053,364","39,194,720"
082,Duxbury,2015,"3,076,912","7,936,871","32,320,635","3,536,394","623,595","2,391,315","10,585,104","485,681",183,"8,898,572","69,855,262"
100,Framingham,2015,"9,086,633","27,208,886","118,915,246","15,075,220","1,769,205","5,903,598","43,319,673","6,269,455","91,204","12,015,039","239,654,159"
131,Hingham,2015,"4,575,061","13,088,533","44,685,017","6,892,791","882,166","1,813,390","12,707,992","811,030","6,355","6,573,018","92,035,353"
155,Lexington,2015,"15,389,385","12,997,153","85,894,531","8,010,503","1,338,516","3,120,255","27,138,504","817,003","638,142","14,381,629","169,725,621"
168,Marblehead,2015,"2,318,534","7,361,518","32,291,312","4,902,531","635,343","1,821,283","12,750,466","2,705,864",0,"5,499,005","70,285,856"
178,Melrose,2015,"2,961,941","8,535,530","27,589,872","9,441,811","1,459,391","1,691,030","17,073,579","3,257,963","481,545","5,458,234","77,950,896"
198,Natick,2015,"10,582,610","14,629,596","53,351,577","6,591,855","1,562,012","2,950,239","22,330,631","1,450,370",0,"10,773,641","124,222,531"
199,Needham,2015,"6,864,655","14,484,456","64,010,884","5,332,070","1,216,465","2,000,058","21,781,806","1,272,800","518,790","11,098,940","128,580,924"
284,Stoneham,2015,"2,024,969","7,108,795","26,433,203","2,163,222","457,393","1,572,728","13,564,423","1,443,471","35,348","4,620,088","59,423,640"
291,Swampscott,2015,"2,503,497","7,352,281","25,075,381","1,377,418","1,724,115","504,818","9,726,547","560,469",0,"4,632,999","53,457,525"
317,Wellesley,2015,"11,977,316","11,043,388","64,596,428","8,908,518","1,171,987","2,686,929","22,689,521","1,172,460","-4,040,469","16,259,032","136,465,110"
344,Winchester,2015,"6,540,920","8,798,604","40,995,500","6,980,796","556,155","1,768,438","14,784,070","576,492","121,114","6,978,674","88,100,763"
010,Arlington,2014,"5,328,977","14,134,573","51,953,672","7,810,275","932,817","3,207,262","23,210,676","3,009,401","297,786","8,386,387","118,271,826"
046,Brookline,2014,"10,106,970","29,099,113","87,479,926","12,148,636","2,045,258","6,816,841","50,186,015","6,196,321",0,"9,304,648","213,383,728"
065,Cohasset,2014,"2,376,340","4,626,047","16,449,298","2,337,451","504,034","642,783","5,360,084","937,872",0,"4,275,197","37,509,106"
082,Duxbury,2014,"3,325,244","7,632,936","31,005,937","3,586,304","678,665","2,173,008","9,935,698","448,529",241,"9,096,294","67,882,856"
