municipality,fiscal_year,vote_date,win_loss,yes_votes,no_votes,vote_type,department,description,amount
Marblehead,2006,2005-06-15 00:00:00,WIN,"3,869","3,456",Override,GENERAL GOVERNMENT,Supplemental Expenses Of Several Town Departments,2730167
Marblehead,2012,2011-06-14 00:00:00,LOSS,"2,531","3,567",Override,GENERAL GOVERNMENT,"Final Design, Public Bidding And Construction For Improvements To The Old Town House",667793
Marblehead,2023,2022-06-21 00:00:00,LOSS,"1,802","3,929",Override,SCHOOL,School Department Operating Budget,3051093
Marblehead,2024,2023-06-20 00:00:00,LOSS,"2,996","3,414",Override,GENERAL GOVERNMENT,General Government Operating Budget,2472056
Marblehead,2025,2025-06-30 00:00:00,LOSS,0,0,Override,FUNDS,Fix Clerk Error,0
Melrose,1991,1990-10-01 00:00:00,LOSS,"1,839","6,300",Override,GENERAL GOVERNMENT,Asbestos Removal City Buildings,165750
Melrose,1991,1990-10-01 00:00:00,LOSS,"2,259","5,887",Override,PUBLIC WORKS & FACILITIES,"Dpw Repair Roads,Sidewalks,Tree Maint",350000
Melrose,1991,1990-10-01 00:00:00,LOSS,"2,495","5,656",Override,SCHOOL,"5 Teachers Aides,For Lang,Art,Music Teach",135000
Melrose,1991,1990-10-01 00:00:00,LOSS,"2,880","5,299",Override,CULTURE AND RECREATION,Textbooks And Library Books,160000
Melrose,1991,1990-10-01 00:00:00,LOSS,"3,011","5,175",Override,PUBLIC SAFETY,New Fire Engine,162000
Melrose,1993,1992-11-03 00:00:00,WIN,"7,748","7,385",Override,GENERAL OPERATING,Funding Budget Of City And For Schools,3000000
Melrose,2003,2003-06-03 00:00:00,LOSS,"2,813","6,266",Override,PRE-PROPOSITION 2 1/2 DEBT,Override,5300000
Melrose,2016,2015-11-03 00:00:00,LOSS,"3,023","5,034",Override,PRE-PROPOSITION 2 1/2 DEBT,Override,2250000
Melrose,2020,2019-04-02 00:00:00,WIN,"6,084","4,875",Override,SCHOOL,General Operation Of School,5180000
Melrose,2025,2024-06-18 00:00:00,LOSS,"4,296","5,174",Override,GENERAL OPERATING,"Funding School,City, And Public Safety Personnel, Associated Benefits, And Services",7700000
Melrose,2026,2025-11-04 00:00:00,WIN,"6,018","5,052",Override,GENERAL OPERATING,Override,13500000
Natick,1991,1990-05-01 00:00:00,LOSS,"2,320","2,965",Override,SCHOOL,General Operating Budget/School Budget,800000
Natick,1992,1990-05-01 00:00:00,LOSS,"2,274","2,998",Override,SCHOOL,General Operating Budget/School Budget,1000000
Natick,2001,2000-11-07 00:00:00,WIN,"9,410","7,146",Override,PUBLIC SAFETY,Implementing Second Ambulance,427000
Natick,2009,2008-03-25 00:00:00,WIN,"5,356","4,219",Override,GENERAL OPERATING,Funding Operating And School Budget,3900000
Natick,2026,2025-03-25 00:00:00,WIN,"4,659","3,040",Override,GENERAL GOVERNMENT,Operational Override,7000000
Needham,1990,1988-10-01 00:00:00,LOSS,"3,458","3,582",Override,GENERAL OPERATING,"Education,Police,Fire,Public Works,Svcs.",1595000
Needham,1991,1990-05-01 00:00:00,LOSS,"4,861","4,903",Override,GENERAL OPERATING,General Budget,2025484
Needham,1992,1991-04-01 00:00:00,WIN,"5,991","4,704",Override,HEALTH AND HUMAN SERVICE,Fund Youth Commission Department Budget,26872
Needham,1992,1991-04-01 00:00:00,WIN,"6,886","3,994",Override,PUBLIC SAFETY,Fund Police Department Budget,152113
Needham,1992,1991-04-01 00:00:00,WIN,"6,042","4,660",Override,CULTURE AND RECREATION,Fund Park & Recreation Department Budget,52000
Needham,1992,1991-04-01 00:00:00,WIN,"7,058","3,757",Override,HEALTH AND HUMAN SERVICE,Fund Council On Aging Budget,69985
Needham,1992,1991-04-01 00:00:00,WIN,"7,208","3,760",Override,SCHOOL,Fund School Department Budget,978000
Needham,1992,1991-04-01 00:00:00,WIN,"7,322","3,628",Override,PUBLIC SAFETY,Fund Fire Dept.& Ambulance Service Budget,198115
Needham,1992,1991-04-01 00:00:00,WIN,"8,196","2,819",Override,CULTURE AND RECREATION,Fund Library Operating Budget,467000
Needham,1997,1996-04-08 00:00:00,LOSS,"3,908","3,969",Override,SCHOOL,Operations Of School Department,1489811
Needham,1997,1996-04-08 00:00:00,LOSS,"3,894","3,955",Override,PUBLIC WORKS & FACILITIES,Operations Of The Board Of Health,57831
Needham,1997,1996-04-08 00:00:00,LOSS,"3,883","3,947",Override,PUBLIC SAFETY,Operations Of Police Department,97651
Needham,1997,1996-04-08 00:00:00,LOSS,"3,364","4,366",Override,GENERAL GOVERNMENT,Maintainance Of Municipal Maint.Dept.,45000
Needham,1997,1996-04-08 00:00:00,LOSS,"3,359","4,373",Override,PUBLIC WORKS & FACILITIES,Operations Of Public Works Dept.,105605
Needham,1997,1996-04-08 00:00:00,WIN,"4,098","3,755",Override,CULTURE AND RECREATION,Operations Of Parks And Recreation Dept.,40500
Needham,1997,1996-04-08 00:00:00,WIN,"4,139","3,679",Override,PUBLIC SAFETY,Operations Of Fire Department,107000
Needham,1997,1996-04-08 00:00:00,WIN,"4,267","3,596",Override,CULTURE AND RECREATION,Operations Of Youth Commission,66431
Needham,1997,1996-04-08 00:00:00,WIN,"4,393","3,481",Override,HEALTH AND HUMAN SERVICE,Operations Of Council On Aging,40000
Needham,1997,1996-04-08 00:00:00,WIN,"5,692","2,304",Override,CULTURE AND RECREATION,Operatons Of The Library,295000
Needham,1998,1997-05-03 00:00:00,LOSS,"4,019","4,069",Override,SCHOOL,School Dept. Operations,1500000
Needham,2003,2002-11-05 00:00:00,LOSS,"5,182","8,544",Override,GENERAL GOVERNMENT,Funding Infrastructure Maintenance Programs,5656000
Needham,2003,2002-11-05 00:00:00,LOSS,"4,579","9,186",Override,GENERAL GOVERNMENT,Funding Infrastructure Maintenance Programs,6970000
Needham,2003,2002-11-05 00:00:00,LOSS,"6,567","7,330",Override,GENERAL GOVERNMENT,Funding Infrastructure Maintenance Programs,4650000
Needham,2004,2003-04-14 00:00:00,WIN,"5,782","3,977",Override,SCHOOL,Defraying School Operating Expenses,2309318
Needham,2004,2003-04-23 00:00:00,WIN,"6,602","3,133",Override,PUBLIC WORKS & FACILITIES,Road Maintenance,150000
Needham,2007,2006-04-11 00:00:00,WIN,"4,054","3,726",Override,GENERAL OPERATING,General Operating Expenditures,597370
Needham,2007,2006-04-11 00:00:00,LOSS,"3,671","4,115",Override,SCHOOL,School Department Expenditures,1476017
Needham,2008,2007-04-10 00:00:00,WIN,"4,681","3,376",Override,SCHOOL,Defray School Operating Expenses,1128670
Needham,2010,2008-11-04 00:00:00,WIN,"8,900","7,751",Override,SCHOOL,Funding Operating Expenses For The Public Schools,1887929
Needham,2015,2014-04-08 00:00:00,WIN,"2,984","2,307",Override,SCHOOL,Funding Operating Expenses For The Public Schools,1548410
Stoneham,1991,1990-04-01 00:00:00,LOSS,"2,213","2,602",Override,GENERAL OPERATING,Schools And Council On Aging,592000
Stoneham,1991,1990-04-01 00:00:00,LOSS,"2,006","2,827",Override,PUBLIC WORKS & FACILITIES,Collection Of Solid Waste,1100000
Stoneham,1993,1992-04-02 00:00:00,LOSS,"1,327","3,352",Override,CULTURE AND RECREATION,Additional Funds For Public Library,97000
Stoneham,1993,1992-04-02 00:00:00,LOSS,848,"3,602",Override,PUBLIC SAFETY,Asses Addit Funds For Police Department,70000
Stoneham,1993,1992-04-02 00:00:00,LOSS,"1,336","3,333",Override,PUBLIC WORKS & FACILITIES,Collection And Disposal Of Solid Waste,550000
Stoneham,2008,2007-06-19 00:00:00,LOSS,"2,699","2,936",Override,GENERAL GOVERNMENT,Funding Of Town And School Operations,3000000
Stoneham,2012,2011-04-05 00:00:00,LOSS,842,"1,892",Override,GENERAL OPERATING,Funding Town And School Budgets,1900000
Stoneham,2026,2025-04-01 00:00:00,LOSS,"2,909","3,432",Override,GENERAL GOVERNMENT,"$14.6 Million To Fund Public Safety, Education, Public Works And General Government Expenses Beginning July 1, 2025",14600000
Stoneham,2027,2025-12-09 00:00:00,LOSS,"3,600","3,643",Override,GENERAL GOVERNMENT,Funding School And Town Expenses For Fy27,12500000
Stoneham,2027,2025-12-09 00:00:00,WIN,"4,001","3,274",Override,GENERAL GOVERNMENT,Funding School And Town Expenses For Fy27,9300000
Swampscott,1991,1990-06-01 00:00:00,WIN,"2,584","2,401",Override,GENERAL OPERATING,General Operating Budget,1837000
Swampscott,2002,2001-06-19 00:00:00,WIN,"2,076","1,888",Override,GENERAL OPERATING,Supplementing Budget,2469790
Swampscott,2006,2005-06-14 00:00:00,LOSS,"1,506","3,271",Override,GENERAL OPERATING,"Treasurer, Collector-Postage",7500
Swampscott,2006,2005-06-14 00:00:00,LOSS,"1,515","3,259",Override,GENERAL OPERATING,Law Department Expenses,10000
Swampscott,2006,2005-06-14 00:00:00,WIN,"2,548","2,262",Override,CULTURE AND RECREATION,Operating Expenses For The Council On Aging,6000
Swampscott,2006,2005-06-14 00:00:00,LOSS,"1,673","3,097",Override,GENERAL OPERATING,Operating Expenses For Building Department,8500
Swampscott,2006,2005-06-14 00:00:00,LOSS,"1,650","3,103",Override,GENERAL OPERATING,Funding Stabilization Fund,28000
Swampscott,2006,2005-06-14 00:00:00,WIN,"3,073","1,816",Override,PUBLIC SAFETY,Operating Expenses For The Police Department,180000
Swampscott,2006,2005-06-14 00:00:00,WIN,"2,765","2,084",Override,CULTURE AND RECREATION,Operating Expenses Of The Library,30000
Swampscott,2006,2005-06-14 00:00:00,WIN,"3,038","1,840",Override,PUBLIC SAFETY,Operating Expenses Of The Fire Department,265000
Swampscott,2006,2005-06-14 00:00:00,LOSS,"2,078","2,819",Override,SCHOOL,Operating Expenses Of The School Department,2750000
Swampscott,2006,2005-06-14 00:00:00,WIN,"2,573","2,327",Override,SCHOOL,Funding Operating Expenses Of The School Department,1750000
Swampscott,2006,2005-06-14 00:00:00,LOSS,"1,588","3,187",Override,GENERAL OPERATING,Operating Expenses For The Personnell Department,15000
Wellesley,1990,1989-03-01 00:00:00,LOSS,"2,458","4,050",Override,GENERAL OPERATING,Capital Outlay And Maintenance Of Program,700000
Wellesley,1990,1989-03-01 00:00:00,LOSS,"1,965","4,478",Override,PUBLIC SAFETY,Police And Fire Department,204000
Wellesley,1990,1989-03-01 00:00:00,LOSS,"3,202","3,309",Override,SCHOOL,Asbestos Removal In Schools,240000
Wellesley,1990,1989-03-01 00:00:00,LOSS,"2,643","3,846",Override,GENERAL OPERATING,"General Government,Public Works,Educ,Libr",922000
Wellesley,1991,1990-05-01 00:00:00,LOSS,"2,623","5,052",Override,HEALTH AND HUMAN SERVICE,Fund Youth Commission Operations,15389
Wellesley,1991,1990-05-01 00:00:00,LOSS,"2,325","5,297",Override,GENERAL GOVERNMENT,Fund Personnel Board Operations,6900
Wellesley,1991,1990-05-01 00:00:00,LOSS,"3,410","4,273",Override,HEALTH AND HUMAN SERVICE,Fund Board Of Health Oper.Budget,15000
Wellesley,1991,1990-05-01 00:00:00,WIN,"4,038","3,678",Override,PUBLIC WORKS & FACILITIES,Fund Dpw Recycling Disposal Facility,347300
Wellesley,1991,1990-05-01 00:00:00,WIN,"5,420","2,359",Override,SCHOOL,Fund Sch./Education Budget,270600
Wellesley,1992,1991-05-01 00:00:00,WIN,"3,935","2,103",Override,SCHOOL,Fund Public Education Department,246800
Wellesley,1992,1991-05-01 00:00:00,WIN,"3,519","2,519",Override,CULTURE AND RECREATION,Fund Library Department Operations,78200
Wellesley,2001,2000-05-02 00:00:00,WIN,"3,120",957,Override,SCHOOL,Public Education,750000
Wellesley,2002,2001-05-01 00:00:00,WIN,"3,031","1,582",Override,SCHOOL,Public Education,1967821
Wellesley,2003,2002-05-07 00:00:00,WIN,"2,814","1,265",Override,GENERAL OPERATING,Fully Fund General Fund Operating Budget,2539201
Wellesley,2004,2003-05-13 00:00:00,WIN,"4,345","3,804",Override,GENERAL OPERATING,General Operating Budget,2895436
Wellesley,2005,2004-11-02 00:00:00,LOSS,"3,123","9,777",Override,GENERAL OPERATING,Group Insurance Libability Trust Fund To Reduce Unfunded Post Retirement Benefit,2500000
Wellesley,2006,2005-05-10 00:00:00,LOSS,"4,101","4,118",Override,GENERAL OPERATING,General Operating Budget,3552392
Wellesley,2006,2005-05-10 00:00:00,WIN,"4,465","3,750",Override,GENERAL OPERATING,General Fund Operating Budget,2596851
Wellesley,2007,2006-05-16 00:00:00,LOSS,"4,325","5,126",Override,PUBLIC WORKS & FACILITIES,Sunday Openings Of The Towns Recycling And Disposal Facility,45043
Wellesley,2007,2006-05-16 00:00:00,LOSS,"4,512","4,927",Override,CULTURE AND RECREATION,Funding Budget For Hills Branch And Fells Branch Of The Free Library,75603
Wellesley,2007,2006-05-16 00:00:00,WIN,"5,607","3,862",Override,GENERAL OPERATING,Public Education And General Operating,3158618
Wellesley,2015,2014-05-20 00:00:00,WIN,"4,252","2,944",Override,GENERAL OPERATING,To Support 2015 Operating Budget,3345000
Winchester,1992,1991-03-26 00:00:00,LOSS,"2,599","3,127",Override,CULTURE AND RECREATION,Funding For Library Book Account,27000
Winchester,1992,1991-03-26 00:00:00,LOSS,"1,892","3,679",Override,HEALTH AND HUMAN SERVICE,Funding Rent On Council On Aging,12000
Winchester,1992,1991-03-26 00:00:00,LOSS,"1,935","3,635",Override,PUBLIC WORKS & FACILITIES,Funding For Health Dept. Inspector,41000
Winchester,1992,1991-03-26 00:00:00,LOSS,"2,395","3,310",Override,PUBLIC WORKS & FACILITIES,Funding Public Works Grounds Div.Budget,200000
Winchester,1992,1991-03-26 00:00:00,LOSS,"2,421","3,306",Override,SCHOOL,Fund School Department Budget,644000
Winchester,2003,2002-04-16 00:00:00,WIN,"4,465","3,390",Override,GENERAL GOVERNMENT,General Operating Budget,4550000
Winchester,2006,2004-12-07 00:00:00,LOSS,"3,518","4,543",Override,GENERAL OPERATING,General Operating Expenditures,3933000
Winchester,2008,2007-03-13 00:00:00,WIN,"4,252","2,297",Override,GENERAL OPERATING,"Operating Budget For Police, Fire, Library, School, Public Works And Other Municipal Personnel",1347000
Winchester,2012,2011-03-29 00:00:00,LOSS,"1,814","2,049",Override,GENERAL OPERATING,"Funding Annual Operating Budgets For Schools, Police, Fire, Library, Public Works,Etc.",1440000
Winchester,2020,2019-03-26 00:00:00,WIN,"2,849","1,901",Override,GENERAL GOVERNMENT,Operating Budget And Building Stab Fund,10000000
Winchester,2024,2023-01-07 00:00:00,WIN,"1,879","1,593",Override,GENERAL GOVERNMENT,Capital Stabilization Fund,400000
