dor_code,municipality,fiscal_year,taxes,service_charges,licenses_permits,federal_revenue,state_revenue,other_govt_revenue,special_assessments,fines,miscellaneous,other_financing,transfers,total_revenues
065,Cohasset,2019,"40,665,898","1,036,736","704,999","59,807","3,350,506",295,"357,264","20,808","222,702",0,"905,361","47,324,376"
082,Duxbury,2019,"66,070,648","3,385,827","2,602,052","317,711","6,426,953",0,0,"36,710","797,334",0,"1,470,902","81,108,137"
100,Framingham,2019,"204,884,095","3,338,310","6,959,971","2,103,638","62,069,556","18,700",0,"302,236","1,784,212",0,"3,964,029","285,424,747"
131,Hingham,2019,"90,223,173","1,880,258","1,171,935","258,474","11,131,250",0,"157,185","60,363","1,304,364","5,031","1,156,438","107,348,471"
155,Lexington,2019,"192,733,769","3,239,784","2,725,133","325,294","15,989,334","2,386","32,790","187,459","1,934,571",0,"8,927,220","226,097,740"
168,Marblehead,2019,"72,350,512","784,780","915,577","161,918","7,392,809","5,294",0,"132,890","809,354",0,"1,029,979","83,583,113"
178,Melrose,2019,"64,188,283","272,960","3,669,957",0,"15,089,857",0,"7,012","196,719","226,135",0,"6,666,076","90,316,999"
198,Natick,2019,"120,228,171","3,344,116","3,188,915",0,"14,029,131",0,"3,676","106,882","1,176,557",0,"8,396,564","150,474,012"
199,Needham,2019,"150,024,358","3,490,377","2,837,834",0,"12,478,800","64,481","1,277","140,918","1,444,161",0,"2,506,215","172,988,421"
284,Stoneham,2019,"55,274,907","1,300,748","978,676",0,"10,383,657","33,233",0,"32,765","160,452",0,"1,569,832","69,734,270"
291,Swampscott,2019,"50,976,105","770,542","790,054",0,"5,216,150","1,606,422",0,"78,646","301,245",0,"822,407","60,561,571"
317,Wellesley,2019,"147,897,115","790,700","3,617,016",0,"10,349,580",0,0,"577,555","1,971,975",0,"2,229,106","167,433,047"
344,Winchester,2019,"96,536,550","2,849,068","1,524,411","71,138","11,363,437",0,0,"122,350","1,528,272",0,"6,890,094","120,885,320"
010,Arlington,2018,"122,680,155","476,310","3,590,827",0,"21,267,561","24,244","5,085","472,653","590,727",0,"2,918,193","152,025,755"
046,Brookline,2018,"221,874,707","11,465,387","7,570,203",0,"20,290,032",0,0,"3,471,240","2,153,312",0,"3,074,754","269,899,635"
065,Cohasset,2018,"39,410,280","1,063,389","764,346",0,"3,163,744",250,"358,065","20,280","197,706",0,"807,487","45,785,547"
082,Duxbury,2018,"63,966,903","2,969,396","2,807,317","63,154","6,196,701",0,0,"60,056","391,232","91,722","1,019,728","77,566,209"
100,Framingham,2018,"201,271,752","2,654,079","3,805,566","2,334,607","56,224,296","19,512",0,"352,989","1,378,185",0,"3,571,822","271,612,808"
131,Hingham,2018,"87,085,651","1,794,990","3,026,429",0,"10,874,409",0,"229,567","64,137","945,690","90,129","1,141,958","105,252,960"
155,Lexington,2018,"187,724,232","3,333,512","3,017,145","411,551","15,702,885","2,647","19,038","206,154","1,027,743",0,"6,140,552","217,585,459"
168,Marblehead,2018,"70,408,640","864,217","755,908","140,522","7,161,151","-4,292",0,"117,030","290,835",0,"1,108,144","80,842,155"
178,Melrose,2018,"61,516,730","283,302","3,964,446",0,"14,503,430",0,"6,391","177,779","119,455",0,"6,008,447","86,579,980"
198,Natick,2018,"116,287,657","2,497,148","3,905,353",0,"13,537,852",0,"2,976","211,716","656,300",0,"5,031,822","142,130,824"
199,Needham,2018,"140,620,747","3,385,125","2,598,567",0,"11,741,969","78,729","3,534","108,831","960,895",0,"2,007,529","161,505,926"
284,Stoneham,2018,"53,011,012","1,079,718","1,541,369","4,562","9,636,153","30,519",0,"41,414","84,640",0,"1,912,880","67,342,267"
291,Swampscott,2018,"51,035,053","715,875","496,062",0,"5,036,574","1,559,821",0,"79,558","308,735",0,"813,115","60,044,793"
317,Wellesley,2018,"142,499,338","973,294","4,049,311",0,"9,734,450",0,0,"466,684","1,313,969",0,"1,909,312","160,946,358"
344,Winchester,2018,"93,164,321","2,769,933","1,606,060",0,"10,297,912",0,"1,595","31,806","705,197",0,"6,329,498","114,906,322"
010,Arlington,2017,"117,052,335","627,570","3,011,221",0,"21,724,948","28,608",0,"438,974","370,118",0,"2,058,329","145,312,103"
046,Brookline,2017,"214,135,603","5,609,129","5,769,843",0,"19,628,707",0,0,"3,946,159","2,156,275",0,"7,849,072","259,094,788"
065,Cohasset,2017,"37,671,047","1,047,037","637,918",0,"3,899,388","1,325","372,939","23,901","164,245",0,"1,114,191","44,931,991"
082,Duxbury,2017,"61,564,732","2,654,610","2,742,169","53,072","6,107,233",0,0,"58,234","259,366","467,504","363,740","74,270,660"
100,Framingham,2017,"193,099,829","2,651,392","3,547,232","2,277,006","55,642,097","48,768",0,"398,308","685,436","7,938,523","4,428,366","270,716,957"
131,Hingham,2017,"85,188,455","1,858,244","1,634,481",0,"10,835,915",0,"275,051","85,130","497,272","77,817","1,033,933","101,486,298"
155,Lexington,2017,"177,144,302","2,726,114","2,827,036","489,458","13,291,928","6,610","26,230","207,689","814,282",0,"4,726,441","202,260,090"
168,Marblehead,2017,"67,652,886","802,292","763,737","173,444","7,212,014","21,143",0,"140,403","293,807",0,"1,307,815","78,367,541"
178,Melrose,2017,"59,472,439","273,729","3,528,805",0,"14,237,894",0,"8,954","187,458","20,083",0,"6,543,255","84,272,617"
198,Natick,2017,"111,685,944","3,531,685","4,289,158",0,"13,286,126",0,"6,706","174,723","640,049",0,"4,665,630","138,280,021"
199,Needham,2017,"132,170,154","2,772,002","4,477,430",0,"11,135,784","76,173","4,933","108,338","519,306",0,"2,383,366","153,647,486"
